Maßnahmentitel;Maßnahmeart;inhaltl. Schlagrichtung;Schlagwörter;Produkt, Abrechnungsart;Kostenträger;Dauer;Praxisdauer;Abschluss (Zertifikate);Status;Dokumente;Organisation;Ansprechpartner I;Ansprechpartner II
Maßnahme zur Stärkung von Grundkompetenzen;Vorbereitung;Vorbereitung auf die berufliche Qualifizierung/ Umschulung;FbW, Vorbereitung, Grundkompetenzen, Qualifizierung, Vorbereitungskurs, Förderung, Wiederauffrischen, Lernkompetenz, Lernen, Lernen lernen, Lernwerkstatt, Lerntechniken, Deutsch, Mathematik, beruflicher Neustart, Neubeginn, Bildungsgutschein, Umschulung;FbW;Agentur für Arbeit und Jobcenter;3 Monate;;Teilnehmerbescheinigung intern;;;;Dennis Chrubasik;Herr Räuschel
Maßnahme zur Stärkung von Grundkompetenzen - intensiv;Vorbereitung;Vorbereitung auf die berufliche Qualifizierung/ Umschulung mit dem Schwerpunkt Sprache;FbW, Vorbereitung, Grundkompetenzen, Qualifizierung, Vorbereitungskurs, Förderung, Wiederauffrischen, Lernkompetenz, Lernen, Lernen lernen, Lernwerkstatt, Lerntechniken, Deutsch, Mathematik, Schwerpunkt Sprache, beruflicher Neustart, Neubeginn, Bildungsgutschein, Umschulung, intensiv Sprache, Sprachförderung, Deutsch als Zweitsprache, Migranten;FbW;Agentur für Arbeit und Jobcenter;3 Monate;;Teilnehmerbescheinigung intern;;;;Dennis Chrubasik;Herr Räuschel
AVGS Profiling FbW Vorbereitung;Vorbereitung;Vorbereitung auf Umschulung;FbW, Vorbereitung, Profiling, Orientierung, Qualifizierung, Aktivierung, Assessment, Test, Potenzialanalyse, Eignung;AVGS;Agentur für Arbeit und Jobcenter;3 Monate;;Teilnehmerbescheinigung intern;;;;Dennis Chrubasik;Herr Räuschel
AVGS PRO TQ;Vorbereitung;Vorbereitung auf Qualifizierung;Kölner Bildungsmodell, Teilqualifizierung, Teilqualifikation, Module, modulare Qualifizierung, Vorbereitung, Orientierung, Aktivierung, AVGS, Einzelcoaching, Coaching, Profiling, Test;AVGS;Agentur für Arbeit und Jobcenter;3 Monate;;Teilnehmerbescheinigung intern;;;;Arne Carpus;Herr Räuschel
AVGS Profiling Köbi;Vorbereitung;KöBi Profiling - AVGS Gruppenmaßnahme zur Vorbereitung auf die Qualifizierungsphase im Kölner Bildungsmodell;Kölner Bildungsmodell, Teilqualifizierung, Teilqualifikation, Module, modulare Qualifizierung, Vorbereitung, Orientierung, Aktivierung, AVGS, Einzelcoaching, Coaching, Profiling, Test;AVGS;Agentur für Arbeit und Jobcenter;3 Monate;;Teilnehmerbescheinigung intern;;;;Arne Carpus;Herr Räuschel
Kölner Bildungsmodell im Beruf Maschinen- u. Anlagenführer:in;Teilqualifizierung / Umschulung;Kölner Bildungsmodell im Beruf Maschinen- u. Anlagenführer:in, Qualifizierungsmaßnahme gegliedert in Teilqualifizierungen (TQ 1- 4), sozialpädagogische Begleitung;Kölner Bildungsmodell, FbW, Bildungsgutschein, Fertigung, Produktion, Maschinen- und Anlagenführer, Maschinen- und Anlagenführerin, Fachkraft für Metalltechnik Fachrichtung Zerspanungstechnik, Industriemechaniker Einsatzgebiet Feingerätebau, Industriemechanikerin, CNC-Anwender Drehen und Fräsen (NCG), CNC-Anwenderin, CNC-Anwender für Fachkräfte (NCG), Industriefachkraft für CNC-Fertigung, Industriefachkraft für CNC- und CAM-Fertigung, Industriefachkraft für CAM-Fertigung, CNC;BGS;Agentur für Arbeit und Jobcenter;18 Monate;;IHK Zertifikat;;;;Arne Carpus;Herr Räuschel
Kölner Bildungsmodell Prüfungsvorbereitung Maschinen- u. Anlageführer:in;Umschulung;Prüfungsvorbereitung Maschinen- u. Anlageführer:in;Kölner Bildungsmodell, Einschlägige Berufserfahrung, Nachholen Berufsabschluss, Kammerprüfung verschiedene Berufsrichtungen, Prüfungsvorbereitung, Externenprüfung, Maschinen, Anlagenführer, MAF ;BGS;Agentur für Arbeit und Jobcenter;3 Monate;;IHK Abschluss;;;;Arne Carpus;Herr Räuschel
Kölner Bildungsmodell im Beruf Verkäufer:in in Teilzeit;Teilqualifizierung;Kölner Bildungsmodell im Beruf Verkäufer:in in Teilzeit, Qualifizierungsmaßnahme gegliedert in Teilqualifizierungen (TQ 1- 5), sozialpädagogische Begleitung, Teilzeit 30 UE/Woche;Kölner Bildungsmodell, FbW, Bildungsgutschein, Einschlägige Berufserfahrung, Nachholen Berufsabschluss, Kammerprüfung verschiedene Berufsrichtungen, Modell, Potenzialanalyse, modular, Qualifizierung, begleitetes Coaching, profiling, Abschluss, Teilqualifizierung, Module, Ü25, Motivation, sozialpädagogische Begleitung, Wiedereinstieg, Abbruch, Pause, Unterbrechung, Teilzeit, Verkauf, Verkäuferin, Verkäufer;BGS;Agentur für Arbeit und Jobcenter;25 Monate;;IHK Zertifikat;;;;Arne Carpus;Herr Räuschel
Kölner Bildungsmodell Prüfungsvorbereitung Verkäufer:in;Umschulung;Prüfungsvorbereitung Verkäufer:in;Kölner Bildungsmodell, Einschlägige Berufserfahrung, Nachholen Berufsabschluss, Kammerprüfung verschiedene Berufsrichtungen, Prüfungsvorbereitung, Externenprüfung, Verkäufer, Verkäuferin, Teilzeit;BGS;Agentur für Arbeit und Jobcenter;3 Monate;;IHK Abschluss;;;;Arne Carpus;Herr Räuschel
Kölner Bildungsmodell im Beruf Büromanagement;Teilqualifizierung;Qualifizierungsmaßnahme gegliedert in Teilqualifizierungen (TQ 1- 6), sozialpädagogische Begleitung;Kölner Bildungsmodell, FbW, Bildungsgutschein, Einschlägige Berufserfahrung, Nachholen Berufsabschluss, Kammerprüfung verschiedene Berufsrichtungen, Modell, Potenzialanalyse, modular, Qualifizierung, begleitetes Coaching, profiling, Abschluss, Teilqualifizierung, Module, Ü25, Motivation, sozialpädagogische Begleitung, Wiedereinstieg, Abbruch, Pause, Unterbrechung, Büromanagement, Büro;BGS;Agentur für Arbeit und Jobcenter;36 Monate;;IHK Zertifikat;;;;Arne Carpus;Herr Räuschel
Kölner Bildungsmodell Prüfungsvorbereitung Kaufleute für Büromanagement;Umschulung;Prüfungsvorbereitung Kaufleute für Büromanagement;Kölner Bildungsmodell, FbW, Bildungsgutschein, Einschlägige Berufserfahrung, Nachholen Berufsabschluss, Kammerprüfung verschiedene Berufsrichtungen, Prüfungsvorbereitung, Externenprüfung, Kauffrau, Kaufmann, Büromanagement, Kaufleute;BGS;Agentur für Arbeit und Jobcenter;3 Monate;;IHK Abschluss;;;;Arne Carpus;Herr Räuschel
Kölner Bildungsmodell im Beruf Fachlageristen;Teilqualifizierung;Kölner Bildungsmodell im Beruf Fachlageristen, Qualifizierungsmaßnahme gegliedert in Teilqualifizierungen (TQ 1- 5), sozialpädagogische Begleitung;Kölner Bildungsmodell, FbW, Bildungsgutschein, Einschlägige Berufserfahrung, Nachholen Berufsabschluss, Kammerprüfung verschiedene Berufsrichtungen, Modell, Potenzialanalyse, modular, Qualifizierung, begleitetes Coaching, profiling, Abschluss, Teilqualifizierung, Module, Ü25, Motivation, sozialpädagogische Begleitung, Wiedereinstieg, Abbruch, Pause, Unterbrechung, Fachlagerist, Lager;BGS;Agentur für Arbeit und Jobcenter;25 Monate;;IHK Zertifikat;;;;Arne Carpus;Herr Räuschel
Kölner Bildungsmodell Prüfungsvorbereitung Fachlageristen;Umschulung;Prüfungsvorbereitung Fachlageristen;Kölner Bildungsmodell, FbW, Bildungsgutschein, Einschlägige Berufserfahrung, Nachholen Berufsabschluss, Kammerprüfung verschiedene Berufsrichtungen, Prüfungsvorbereitung, Externenprüfung, Fachlagerist, Lager, Logistik;BGS;Agentur für Arbeit und Jobcenter;3 Monate;;IHK Abschluss;;;;Arne Carpus;Herr Räuschel
Arbeitsmedizinische Begutachtungen ;Sonstiges;Arbeitsmedizinische Begutachtungen für Kunden der Jobcenter Köln und Rhein-Erft;Begutachtung, Orientierung, Eignung, Eignungsabklärung, Neuorientierung, Leistungsvermögen, berufspraktische Erprobungen, Stärken, langfristige Jobperspektive, psychologische Eignungsuntersuchung, Diagnostik, medizinische Probleme, Vorerkrankungen, Anamnese, Abklärung, Gesundheitszustand;;;Einzeltermine;;;;;;Frau Hemgesberg;Herr Räuschel
Leistungspotenzial und Perspektiven;Sonstiges;Abklärung der beruflichen Stärken und Fähigkeiten sowie der aktuellen berufsbezogenen Leistungsfähigkeit der teilnehmenden Kunden des Jobcenters Köln;Begutachtung, Erfassung und Reflexion psychosozialer Faktoren, beruflicher Werdegang, Motivation, hemmende und fördernde Kontextfaktoren, subjektives Empfinden, Einschätzen der eigenen Erkrankung, aktuelles Arbeitsverhältnis, Rückkehr, Adaption, Umsetzung Arbeitsplatz;;;4 Wochen;;;;;;Jan Könner;Herr Räuschel
